Edad,Sexo,Facultad,Pregunta,Opción,Comentarios,Pregunta_texto,Llave,Respuesta_texto
32,F,Derecho,1,3,,¿Conoces de la existencia del derecho animal?,13,Sí pero no conozco del tema
32,F,Derecho,2,3,,¿Consideras que los animales tienen derechos?,23,Sí
32,F,Derecho,3,3,,¿Qué derechos consideras tienen los animales?,33,"3. Alimentación, salud, movilidad, libertad"
32,F,Derecho,4,2,,¿Qué animales consideras tienen que ser protegidos jurídicamente?,42,2. Animales con Sistema Nervioso Central
32,F,Derecho,5,1,,¿Cómo crees qué es definido un animal en las leyes mexicanas y el Código Civil Federal?,51,Ser vivo
32,F,Derecho,6,1,,¿Sabes qué hacer ante una situación de maltrato animal?,61,No   
32,F,Derecho,7,1,,¿Consideras importante que los servidores judiciales estén capacitados en materia de derecho animal?,71,No
32,F,Derecho,8,2,,¿Consideras idónea la prisión como un mecanismo para crear conciencia sobre el bienestar de los animales?,82,Prefiero la prevención con c. de concientización
32,F,Derecho,9,3,,¿Qué opinas de la representación jurídica hacia los animales por parte de los abogados y el Ministerio Público?,93,Es necesaria porque son sujetos de derecho
32,F,Derecho,10,4,,¿Qué protecciones básicas consideras viables para los animales de trabajo?,104,4. Respuestas 1 y 3
32,F,Derecho,11,2,,"Tratándose de la base de tu alimentación, ¿qué tanto consumes productos cárnicos?",112,Como de todo
32,F,Derecho,12,1,,¿Consideras importante que los lingüistas participen en la redacción de las leyes y códigos en materia de derecho animal?,121,"Sí, tienen la capacidad de describir y analizar"
18,F,Derecho,1,1,,¿Conoces de la existencia del derecho animal?,11,No
18,F,Derecho,2,3,,¿Consideras que los animales tienen derechos?,23,Sí
18,F,Derecho,3,3,,¿Qué derechos consideras tienen los animales?,33,"3. Alimentación, salud, movilidad, libertad"
18,F,Derecho,4,1,,¿Qué animales consideras tienen que ser protegidos jurídicamente?,41,1. Todos los animales 
18,F,Derecho,5,2,,¿Cómo crees qué es definido un animal en las leyes mexicanas y el Código Civil Federal?,52,Ser sintiente 
18,F,Derecho,6,2,,¿Sabes qué hacer ante una situación de maltrato animal?,62,Me acerco a un policía
18,F,Derecho,7,1,,¿Consideras importante que los servidores judiciales estén capacitados en materia de derecho animal?,71,No
18,F,Derecho,8,1,,¿Consideras idónea la prisión como un mecanismo para crear conciencia sobre el bienestar de los animales?,81,Sí
18,F,Derecho,9,4,,¿Qué opinas de la representación jurídica hacia los animales por parte de los abogados y el Ministerio Público?,94,Representa un avance en la sociedad 
18,F,Derecho,10,4,,¿Qué protecciones básicas consideras viables para los animales de trabajo?,104,4. Respuestas 1 y 3
18,F,Derecho,11,1,,"Tratándose de la base de tu alimentación, ¿qué tanto consumes productos cárnicos?",111,No puedo vivir sin carne
18,F,Derecho,12,3,,¿Consideras importante que los lingüistas participen en la redacción de las leyes y códigos en materia de derecho animal?,123,No se cuál es la función de un lingüista 
18,F,Derecho,1,3,,¿Conoces de la existencia del derecho animal?,13,Sí pero no conozco del tema
