Edad,Sexo,Facultad,Pregunta,Opción,Comentarios
32,F,Derecho,1,3,
32,F,Derecho,2,3,
32,F,Derecho,3,3,
32,F,Derecho,4,2,
32,F,Derecho,5,1,
32,F,Derecho,6,1,
32,F,Derecho,7,1,
32,F,Derecho,8,2,
32,F,Derecho,9,3,
32,F,Derecho,10,4,
32,F,Derecho,11,2,
32,F,Derecho,12,1,
18,F,Derecho,1,1,
18,F,Derecho,2,3,
18,F,Derecho,3,3,
18,F,Derecho,4,1,
18,F,Derecho,5,2,
18,F,Derecho,6,2,
18,F,Derecho,7,1,
18,F,Derecho,8,1,
18,F,Derecho,9,4,
18,F,Derecho,10,4,
18,F,Derecho,11,1,
18,F,Derecho,12,3,
18,F,Derecho,1,3,
18,F,Derecho,2,3,
18,F,Derecho,3,2,
18,F,Derecho,4,1,
18,F,Derecho,5,1,
18,F,Derecho,6,1,
18,F,Derecho,7,2,
18,F,Derecho,8,1,
18,F,Derecho,9,2,
18,F,Derecho,10,4,
18,F,Derecho,11,2,
18,F,Derecho,12,3,
18,F,Derecho,1,3,
18,F,Derecho,2,3,
18,F,Derecho,3,2,
18,F,Derecho,4,1,
18,F,Derecho,5,1,
18,F,Derecho,6,1,
18,F,Derecho,7,3,
18,F,Derecho,8,2,
18,F,Derecho,9,4,
18,F,Derecho,10,4,
18,F,Derecho,11,2,
18,F,Derecho,12,3,
19,F,Derecho,1,3,
19,F,Derecho,2,3,
19,F,Derecho,3,2,
19,F,Derecho,4,1,
19,F,Derecho,5,3,
19,F,Derecho,6,4,
19,F,Derecho,7,3,
19,F,Derecho,8,2,
19,F,Derecho,9,3,
19,F,Derecho,10,3,
19,F,Derecho,11,3,
19,F,Derecho,12,1,
20,F,Derecho,1,3,
20,F,Derecho,2,3,
20,F,Derecho,3,3,
20,F,Derecho,4,1,
20,F,Derecho,5,1,
20,F,Derecho,6,3,
20,F,Derecho,7,2,
20,F,Derecho,8,1,
20,F,Derecho,9,3,
20,F,Derecho,10,1,
20,F,Derecho,11,2,
20,F,Derecho,12,1,
19,F,Derecho,1,1,
19,F,Derecho,2,,
19,F,Derecho,3,3,
19,F,Derecho,4,2,
19,F,Derecho,5,1,
19,F,Derecho,6,1,
19,F,Derecho,7,2,
19,F,Derecho,8,1,
19,F,Derecho,9,4,
19,F,Derecho,10,1,
19,F,Derecho,11,2,
19,F,Derecho,12,3,
18,F,Derecho,1,3,
18,F,Derecho,2,3,
18,F,Derecho,3,3,
18,F,Derecho,4,1,
18,F,Derecho,5,1,
18,F,Derecho,6,1,
18,F,Derecho,7,3,
18,F,Derecho,8,2,
18,F,Derecho,9,4,
18,F,Derecho,10,4,
18,F,Derecho,11,2,
18,F,Derecho,12,3,
24,F,Derecho,1,1,
24,F,Derecho,2,3,
24,F,Derecho,3,3,
24,F,Derecho,4,1,
24,F,Derecho,5,1,
24,F,Derecho,6,4,
24,F,Derecho,7,"3,4",
24,F,Derecho,8,,
24,F,Derecho,9,"1,2",
24,F,Derecho,10,3,
24,F,Derecho,11,2,
24,F,Derecho,12,1,
23,F,Derecho,1,2,
23,F,Derecho,2,3,
23,F,Derecho,3,2,
23,F,Derecho,4,1,
23,F,Derecho,5,3,
23,F,Derecho,6,4,
